"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 26 13:06:32 GMT 2022","Tue Apr 26 13:06:59 GMT 2022","27001","","Brands Not In Catalogue","","Brands Not In Catalogue","Search resulting in a brands not in catalogue experience WITH suggestions banner","Search resulting in a brands not in catalogue experience WITH suggestions banner",""
"passed","Mon May 23 20:04:38 GMT 2022","Mon May 23 20:04:59 GMT 2022","21484","","Customer Rating filter in the filter panel","","Customer Rating filter in the filter panel","Apply Customer Rating filter updates the URL","Apply Customer Rating filter updates the URL",""
"passed","Fri Apr 01 12:53:36 GMT 2022","Fri Apr 01 12:54:03 GMT 2022","26782","","Add to Trolley","","Add to Trolley","Add to trolley modal and close by clicking the background overlay","Add to trolley modal and close by clicking the background overlay",""
"passed","Wed Aug 17 10:26:40 GMT 2022","Wed Aug 17 10:26:49 GMT 2022","9692","","Add to Wishlist","","Add to Wishlist","Clicking the wishlist icon on a browse lister page","Clicking the wishlist icon on a browse lister page",""
"passed","Thu Apr 07 10:22:13 GMT 2022","Thu Apr 07 10:22:26 GMT 2022","13197","","Perceived Availability","","Perceived Availability","Close localise tooltip prompt on browse page","Close localise tooltip prompt on browse page",""
"passed","Fri Apr 01 12:53:44 GMT 2022","Fri Apr 01 12:54:15 GMT 2022","30164","","Add to Trolley","","Add to Trolley","Add to trolley modal and close by clicking the background overlay","Add to trolley modal and close by clicking the background overlay",""
"passed","Mon Apr 25 18:38:12 GMT 2022","Mon Apr 25 18:38:21 GMT 2022","9030","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Filter panel persists after filtering browse page","Filter panel persists after filtering browse page",""
"passed","Mon Apr 25 16:53:26 GMT 2022","Mon Apr 25 16:53:37 GMT 2022","11303","","Applied filters","","Applied filters","Selected browse page filters should see in the applied filter section","Selected browse page filters should see in the applied filter section",""
"passed","Mon May 23 20:04:37 GMT 2022","Mon May 23 20:04:53 GMT 2022","15657","","Citrus in search","","Citrus in search","prepush: display 3 citrus products on plain search and sort (desktop/tablet)","prepush: display 3 citrus products on plain search and sort (desktop/tablet)",""
"passed","Fri Apr 01 12:51:58 GMT 2022","Fri Apr 01 12:52:27 GMT 2022","28682","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the continue shopping button","Add to trolley modal and close using the continue shopping button",""
"passed","Mon Apr 25 18:45:08 GMT 2022","Mon Apr 25 18:45:18 GMT 2022","10055","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Closing error modal via the close button","Closing error modal via the close button",""
"passed","Thu Apr 07 10:01:59 GMT 2022","Thu Apr 07 10:02:07 GMT 2022","7740","","Perceived Availability","","Perceived Availability","Localise tooltip prompt displays on browse page","Localise tooltip prompt displays on browse page",""
"passed","Fri Apr 08 10:01:14 GMT 2022","Fri Apr 08 10:01:37 GMT 2022","22879","","Google AdSense","","Google AdSense","AdSense requests are called with correct adPage param","AdSense requests are called with correct adPage param",""
"passed","Thu Mar 31 10:53:28 GMT 2022","Thu Mar 31 10:53:35 GMT 2022","6177","","Back to search results page from search directory page","","Back to search results page from search directory page","Navigating directly to the /sd route","Navigating directly to the /sd route",""
"passed","Mon May 23 20:01:20 GMT 2022","Mon May 23 20:01:34 GMT 2022","14144","","Tagging - Lister Page","","Tagging - Lister Page","prepush","prepush",""
"passed","Thu Mar 31 10:52:40 GMT 2022","Thu Mar 31 10:53:03 GMT 2022","22844","","Google AdSense","","Google AdSense","AdSense requests are called with correct adPage param","AdSense requests are called with correct adPage param",""
"passed","Fri Apr 08 10:00:54 GMT 2022","Fri Apr 08 10:01:10 GMT 2022","16325","","Citrus in search","","Citrus in search","prepush: display 3 citrus products on plain search and sort (desktop/tablet)","prepush: display 3 citrus products on plain search and sort (desktop/tablet)",""
"passed","Thu Mar 31 10:53:48 GMT 2022","Thu Mar 31 10:54:11 GMT 2022","22948","","Google AdSense","","Google AdSense","AdSense requests are called with correct channel ids on desktop/tablet","AdSense requests are called with correct channel ids on desktop/tablet",""
"passed","Thu Mar 31 10:53:08 GMT 2022","Thu Mar 31 10:53:27 GMT 2022","18582","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Perform sort after single select","Perform sort after single select",""
"passed","Mon Apr 25 18:43:51 GMT 2022","Mon Apr 25 18:44:00 GMT 2022","9917","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Closing error modal via the 'x' button","Closing error modal via the 'x' button",""
"passed","Tue Apr 26 12:43:37 GMT 2022","Tue Apr 26 12:43:41 GMT 2022","4037","","Browse categories","","Browse categories","Legacy apache static redirect to new browse page","Legacy apache static redirect to new browse page",""
"passed","Tue Apr 26 12:28:19 GMT 2022","Tue Apr 26 12:28:35 GMT 2022","15556","","Applied filters","","Applied filters","Search page: category filter should not display in applied filter section","Search page: category filter should not display in applied filter section",""
"passed","Tue Apr 26 16:01:32 GMT 2022","Tue Apr 26 16:02:10 GMT 2022","37819","","Citrus in search","","Citrus in search","display 3 citrus products on plain search and sort (desktop/tablet)","display 3 citrus products on plain search and sort (desktop/tablet)",""
"passed","Mon Apr 25 18:01:04 GMT 2022","Mon Apr 25 18:01:13 GMT 2022","8914","","Applied filters","","Applied filters","Remove filters from within applied filter section","Remove filters from within applied filter section",""
"passed","Mon Apr 25 14:20:21 GMT 2022","Mon Apr 25 14:20:25 GMT 2022","4188","","Applied filters","","Applied filters","Bookmarked PLP+ page should not see applied filters section","Bookmarked PLP+ page should not see applied filters section",""
"passed","Mon Apr 25 18:32:24 GMT 2022","Mon Apr 25 18:32:42 GMT 2022","18437","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Selecting multiple values in the same PRICE filter facet","Selecting multiple values in the same PRICE filter facet",""
"passed","Wed Apr 20 08:22:23 GMT 2022","Wed Apr 20 08:22:32 GMT 2022","9613","","Category facet exact match","","Category facet exact match","prepush","prepush",""
"passed","Wed Apr 20 08:22:30 GMT 2022","Wed Apr 20 08:22:48 GMT 2022","18398","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Perform sort after single select","Perform sort after single select",""
"passed","Mon Jun 06 13:07:06 GMT 2022","Mon Jun 06 13:07:22 GMT 2022","15877","","Unsupported browser","","Unsupported browser","Customer browsing wishlist page with an unsupported browser","Customer browsing wishlist page with an unsupported browser",""
"passed","Wed Apr 20 08:21:52 GMT 2022","Wed Apr 20 08:22:13 GMT 2022","21448","","Pagination on search results page","","Pagination on search results page","Paginating backwards and forwards through the results with next and previous buttons","Paginating backwards and forwards through the results with next and previous buttons",""
"passed","Thu Apr 07 10:33:07 GMT 2022","Thu Apr 07 10:33:18 GMT 2022","11392","","Perceived Availability","","Perceived Availability","Close localise tooltip prompt on browse page","Close localise tooltip prompt on browse page",""
"passed","Wed Apr 20 08:21:53 GMT 2022","Wed Apr 20 08:22:17 GMT 2022","24773","","All Categories Link","","All Categories Link","selecting all categories link displays all categories for users search","selecting all categories link displays all categories for users search",""
"passed","Wed Aug 10 15:39:46 GMT 2022","Wed Aug 10 15:40:00 GMT 2022","13521","","Canned Search","","Canned Search","Serving 1 citrus ads canned search /list/test-test-test/ (mobile)","Serving 1 citrus ads canned search /list/test-test-test/ (mobile)",""
"passed","Mon May 23 20:02:05 GMT 2022","Mon May 23 20:02:29 GMT 2022","24751","","All Categories Link","","All Categories Link","selecting all categories link displays all categories for users search","selecting all categories link displays all categories for users search",""
"passed","Mon Apr 25 14:14:44 GMT 2022","Mon Apr 25 14:15:02 GMT 2022","18030","","All Categories Link","","All Categories Link","selecting all categories link displays all categories for users search","selecting all categories link displays all categories for users search",""
"passed","Wed Aug 10 11:24:55 GMT 2022","Wed Aug 10 11:25:19 GMT 2022","23684","","Citrus in search","","Citrus in search","display 1 citrus product on plain search (mobile)","display 1 citrus product on plain search (mobile)",""
"passed","Mon Apr 25 14:10:08 GMT 2022","Mon Apr 25 14:10:24 GMT 2022","15687","","All Categories Link","","All Categories Link","all categories link displayed after searching and selecting a category","all categories link displayed after searching and selecting a category",""
"passed","Mon Mar 28 15:12:51 GMT 2022","Mon Mar 28 15:13:01 GMT 2022","9960","","Back to search results page from search directory page","","Back to search results page from search directory page","Navigating directly to the /sd route","Navigating directly to the /sd route",""
"passed","Thu Mar 31 10:53:33 GMT 2022","Thu Mar 31 10:53:48 GMT 2022","15221","","Google AdSense","","Google AdSense","AdSense requests when going to no results","AdSense requests when going to no results",""
"passed","Wed Aug 10 14:08:42 GMT 2022","Wed Aug 10 14:08:51 GMT 2022","8869","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the X button","Add to trolley modal and close using the X button",""
"passed","Thu Sep 22 13:09:10 GMT 2022","Thu Sep 22 13:09:30 GMT 2022","20224","","CMS content in list","","CMS content in list","Content in PLP list not visible on pagination","Content in PLP list not visible on pagination",""
"passed","Mon May 23 20:03:39 GMT 2022","Mon May 23 20:03:47 GMT 2022","7932","","Feedback on search results page","","Feedback on search results page","Pre-push The feedback box should be reset when the user navigates to a different search term","Pre-push The feedback box should be reset when the user navigates to a different search term",""
"passed","Thu Mar 31 10:53:20 GMT 2022","Thu Mar 31 10:53:33 GMT 2022","13200","","Google AdSense","","Google AdSense","AdSense requests when coming from no results","AdSense requests when coming from no results",""
"passed","Fri Apr 08 10:00:55 GMT 2022","Fri Apr 08 10:01:01 GMT 2022","6537","","Category facet exact match","","Category facet exact match","prepush","prepush",""
