"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 16:39:46 BST 2022","Wed Aug 10 16:40:00 BST 2022","13521","","Canned Search","","Canned Search","Serving 1 citrus ads canned search /list/test-test-test/ (mobile)","Serving 1 citrus ads canned search /list/test-test-test/ (mobile)",""
"passed","Mon Apr 25 19:34:34 BST 2022","Mon Apr 25 19:35:03 BST 2022","29355","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Selecting multiple filters across different facets PRICE and BRANDS","Selecting multiple filters across different facets PRICE and BRANDS",""
"passed","Mon Jun 06 14:07:06 BST 2022","Mon Jun 06 14:07:22 BST 2022","15877","","Unsupported browser","","Unsupported browser","Customer browsing wishlist page with an unsupported browser","Customer browsing wishlist page with an unsupported browser",""
"passed","Mon Mar 28 16:12:50 BST 2022","Mon Mar 28 16:13:19 BST 2022","29104","","Google AdSense","","Google AdSense","AdSense requests are called with correct adPage param","AdSense requests are called with correct adPage param",""
"passed","Mon Apr 25 17:54:50 BST 2022","Mon Apr 25 17:55:08 BST 2022","18442","","Applied filters","","Applied filters","Selected browse page filters should see in the applied filter section","Selected browse page filters should see in the applied filter section",""
"passed","Mon May 23 21:05:08 BST 2022","Mon May 23 21:05:30 BST 2022","21874","","Google AdSense","","Google AdSense","AdSense requests are called with correct channel ids on desktop/tablet","AdSense requests are called with correct channel ids on desktop/tablet",""
"passed","Wed Apr 20 09:21:24 BST 2022","Wed Apr 20 09:21:32 BST 2022","7955","","Feedback on search results page","","Feedback on search results page","Pre-push The feedback box should be reset when the user navigates to a different search term","Pre-push The feedback box should be reset when the user navigates to a different search term",""
"passed","Wed Apr 20 09:22:14 BST 2022","Wed Apr 20 09:22:40 BST 2022","25948","","Customer Rating filter in the filter panel","","Customer Rating filter in the filter panel","Apply Customer Rating filter updates the URL","Apply Customer Rating filter updates the URL",""
"passed","Wed Apr 20 09:21:01 BST 2022","Wed Apr 20 09:21:09 BST 2022","8049","","Back to search results page from search directory page","","Back to search results page from search directory page","Navigating directly to the /sd route","Navigating directly to the /sd route",""
"passed","Mon Apr 25 17:53:02 BST 2022","Mon Apr 25 17:53:15 BST 2022","12235","","Applied filters","","Applied filters","Selected search page filters should see in the applied filter section","Selected search page filters should see in the applied filter section",""
"passed","Mon May 23 21:01:20 BST 2022","Mon May 23 21:01:47 BST 2022","27294","","Google AdSense","","Google AdSense","AdSense requests are called with correct channel ids on mobile","AdSense requests are called with correct channel ids on mobile",""
"passed","Thu Mar 31 11:52:21 BST 2022","Thu Mar 31 11:52:33 BST 2022","12097","","Perceived Availability","","Perceived Availability","Localised and product is OOS for collection and delivery (prepush)","Localised and product is OOS for collection and delivery (prepush)",""
"passed","Thu Mar 31 11:52:21 BST 2022","Thu Mar 31 11:52:40 BST 2022","19429","","Google AdSense","","Google AdSense","AdSense requests when navigating from browse PLP to search and back again","AdSense requests when navigating from browse PLP to search and back again",""
"broken","Tue May 31 16:47:09 BST 2022","Tue May 31 16:47:34 BST 2022","25011","","Accessibility","","Accessibility","Accessibility violations on search page","Accessibility violations on search page",""
"passed","Wed Aug 17 11:26:06 BST 2022","Wed Aug 17 11:26:16 BST 2022","9918","","Add to Wishlist","","Add to Wishlist","Clicking the wishlist icon on a browse lister page","Clicking the wishlist icon on a browse lister page",""
"passed","Mon Jun 06 14:07:06 BST 2022","Mon Jun 06 14:07:16 BST 2022","10577","","Unsupported browser","","Unsupported browser","Customer browsing canned search test page with an unsupported browser","Customer browsing canned search test page with an unsupported browser",""
"passed","Tue Apr 26 14:06:32 BST 2022","Tue Apr 26 14:06:59 BST 2022","27001","","Brands Not In Catalogue","","Brands Not In Catalogue","Search resulting in a brands not in catalogue experience WITH suggestions banner","Search resulting in a brands not in catalogue experience WITH suggestions banner",""
"passed","Wed Sep 28 16:14:53 BST 2022","Wed Sep 28 16:15:04 BST 2022","10790","","Perceived Availability","","Perceived Availability","Add your postcode link does not display when localised using browse","Add your postcode link does not display when localised using browse",""
"broken","Mon May 16 17:45:55 BST 2022","Mon May 16 17:46:24 BST 2022","29596","","Product Card Variations","","Product Card Variations","Correct product card links for size searched variants small suitcase","Correct product card links for size searched variants small suitcase",""
"passed","Wed Aug 17 11:26:40 BST 2022","Wed Aug 17 11:26:49 BST 2022","9692","","Add to Wishlist","","Add to Wishlist","Clicking the wishlist icon on a browse lister page","Clicking the wishlist icon on a browse lister page",""
"passed","Thu Sep 22 14:09:10 BST 2022","Thu Sep 22 14:09:30 BST 2022","20224","","CMS content in list","","CMS content in list","Content in PLP list not visible on pagination","Content in PLP list not visible on pagination",""
"passed","Tue Apr 26 13:28:19 BST 2022","Tue Apr 26 13:28:35 BST 2022","15556","","Applied filters","","Applied filters","Search page: category filter should not display in applied filter section","Search page: category filter should not display in applied filter section",""
"passed","Fri Apr 08 10:48:48 BST 2022","Fri Apr 08 10:49:04 BST 2022","16674","","Canned Search","","Canned Search","Serving 1 citrus ads canned search /list/test-test-test/ (mobile)","Serving 1 citrus ads canned search /list/test-test-test/ (mobile)",""
"passed","Fri Apr 08 11:00:54 BST 2022","Fri Apr 08 11:01:06 BST 2022","11616","","Tagging - Lister Page","","Tagging - Lister Page","prepush","prepush",""
"passed","Thu Mar 31 11:52:58 BST 2022","Thu Mar 31 11:53:04 BST 2022","6376","","Perceived Availability","","Perceived Availability","Add your postcode link displays when not localised (prepush)","Add your postcode link displays when not localised (prepush)",""
"passed","Mon Mar 28 16:12:22 BST 2022","Mon Mar 28 16:12:50 BST 2022","27374","","Google AdSense","","Google AdSense","AdSense requests when navigating from browse PLP to search and back again","AdSense requests when navigating from browse PLP to search and back again",""
"passed","Wed Apr 20 09:22:30 BST 2022","Wed Apr 20 09:22:48 BST 2022","18398","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Perform sort after single select","Perform sort after single select",""
"failed","Wed Sep 28 16:37:33 BST 2022","Wed Sep 28 16:37:55 BST 2022","22271","","Perceived Availability","","Perceived Availability","Localised and products available to collect from <date>","Localised and products available to collect from <date>",""
